
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 1000                  yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/alfiyandyhr/Github_Repos/atomics/atomics/examples/case_5_LCE_shape_matching/run_lce_qdvs_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 1e-05                 yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:      100
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      300
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  3.7283271e+00 5.90e-01 1.24e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.7417884e+00 5.84e-01 5.75e+01  -0.6 3.69e-01    -  1.00e+00 2.68e-02f  1
   2  3.8926793e+00 2.43e-01 1.79e+01  -1.2 1.67e+00    -  1.00e+00 5.83e-01f  1
   3  3.9626708e+00 0.00e+00 5.97e-01  -1.0 5.93e-01    -  9.50e-01 1.00e+00f  1
   4  3.9623633e+00 0.00e+00 5.84e-03  -2.6 4.02e-03    -  9.94e-01 1.00e+00f  1
   5  3.9025875e+00 0.00e+00 3.50e-03  -8.6 6.37e-01    -  5.96e-01 1.00e+00f  1
   6  3.8774674e+00 0.00e+00 6.07e-03  -3.0 3.93e+00    -  6.14e-01 3.05e-01f  2
   7  3.7761023e+00 0.00e+00 3.26e-02  -3.4 5.04e-01    -  9.15e-01 1.00e+00f  1
   8  3.6962108e+00 0.00e+00 6.80e-02  -3.5 1.27e+00    -  9.96e-01 1.25e-01f  1
   9  3.5471853e+00 0.00e+00 1.07e-01  -3.6 8.27e-01    -  1.00e+00 2.59e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.5222887e+00 0.00e+00 5.68e-02  -4.9 4.27e-02    -  1.00e+00 4.37e-01f  1
  11  3.5026965e+00 0.00e+00 4.89e-02  -6.3 4.43e-02    -  1.00e+00 5.68e-01f  1
  12  3.4937600e+00 0.00e+00 5.01e-02  -7.6 4.81e-02    -  1.00e+00 3.92e-01f  1
  13  3.4878867e+00 0.00e+00 5.25e-02  -8.2 5.09e-02    -  1.00e+00 3.20e-01f  1
  14  3.4741515e+00 0.00e+00 5.63e-02  -8.5 5.23e-02    -  1.00e+00 7.55e-01f  1
  15  3.4737696e+00 0.00e+00 4.07e-02  -9.2 4.06e-02    -  1.00e+00 2.23e-02f  1
  16  3.4574810e+00 0.00e+00 4.46e-02  -7.2 4.09e-02    -  1.00e+00 9.84e-01f  1
  17  3.4479376e+00 0.00e+00 4.64e-02  -8.3 4.41e-02    -  1.00e+00 5.26e-01f  1
  18  3.4478385e+00 0.00e+00 4.44e-02 -10.0 4.44e-02    -  1.00e+00 5.23e-03f  1
  19  3.4471957e+00 0.00e+00 4.46e-02 -11.0 4.44e-02    -  1.00e+00 3.80e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.4415061e+00 0.00e+00 4.57e-02 -11.0 4.46e-02    -  1.00e+00 3.33e-01f  1
  21  3.4414324e+00 0.00e+00 4.57e-02 -11.0 4.57e-02    -  1.00e+00 4.35e-03f  1
  22  3.4391112e+00 0.00e+00 4.64e-02 -11.0 4.58e-02    -  1.00e+00 1.52e-01f  1
  23  3.4389737e+00 0.00e+00 4.19e-02 -11.0 4.18e-02    -  1.00e+00 1.02e-02f  1
  24  3.4333531e+00 0.00e+00 4.31e-02 -11.0 4.20e-02    -  1.00e+00 4.27e-01f  1
  25  3.4276457e+00 0.00e+00 4.42e-02 -11.0 4.30e-02    -  1.00e+00 4.20e-01f  1
  26  3.4275857e+00 0.00e+00 4.40e-02 -11.0 4.40e-02    -  1.00e+00 4.30e-03f  1
  27  3.4250064e+00 0.00e+00 4.46e-02  -8.0 4.40e-02    -  1.00e+00 1.87e-01f  1
  28  3.4249720e+00 0.00e+00 4.45e-02  -9.2 4.45e-02    -  1.00e+00 2.48e-03f  1
  29  3.4230562e+00 0.00e+00 4.49e-02 -10.5 4.45e-02    -  1.00e+00 1.40e-01f  1
